SOC,Ah,Voltage,Current
0.05,0,3.41208,2.99853
0.06666,0.04998,3.5021,2.99853
0.08332,0.09996,3.53514,2.99853
0.09998,0.14994,3.5557,2.99853
0.11664,0.19992,3.57778,2.99853
0.1333,0.2499,3.59868,2.99853
0.14996,0.29988,3.61824,2.99853
0.16662,0.34986,3.63678,2.99853
0.18328,0.39984,3.65448,2.99853
0.19994,0.44982,3.67016,2.99853
0.216606666666667,0.49982,3.68364,2.99853
0.233266666666667,0.5498,3.69561,2.99853
0.249926666666667,0.59978,3.70741,2.99853
0.266586666666667,0.64976,3.71971,2.99853
0.283246666666667,0.69974,3.73252,2.99853
0.299906666666667,0.74972,3.74567,2.99853
0.31657,0.79971,3.75865,3.00108
0.333233333333333,0.8497,3.77129,2.99853
0.349893333333333,0.89968,3.78411,2.99853
0.366553333333333,0.94966,3.79759,3.00108
0.383213333333333,0.99964,3.81209,2.99853
0.399876666666667,1.04963,3.82776,2.99853
0.416536666666667,1.09961,3.84445,2.99853
0.433196666666667,1.14959,3.86215,2.99853
0.449856666666667,1.19957,3.88069,3.00108
0.46652,1.24956,3.8994,2.99853
0.48318,1.29954,3.91828,2.99853
0.49984,1.34952,3.93699,2.99853
0.5165,1.3995,3.9552,2.99853
0.533163333333333,1.44949,3.9729,3.00108
0.549823333333333,1.49947,3.99009,2.99853
0.566483333333333,1.54945,4.00695,3.00108
0.583143333333333,1.59943,4.02347,2.99853
0.599803333333333,1.64941,4.03982,2.99853
0.616463333333333,1.69939,4.05651,2.99853
0.633123333333333,1.74937,4.07404,2.99853
0.649783333333333,1.79935,4.09258,2.99853
0.666446666666667,1.84934,4.11213,2.99853
0.683106666666667,1.89932,4.13303,2.99853
0.699766666666667,1.9493,4.15495,2.99853
0.716426666666667,1.99928,4.17686,2.99853
0.73309,2.04927,4.19776,2.99853
0.748503333333333,2.09551,4.19995,2.57199
0.761993333333333,2.13598,4.19995,2.30381
0.77422,2.17266,4.19979,2.1097
0.785506666666667,2.20652,4.19979,1.96156
0.796063333333333,2.23819,4.19979,1.84152
0.806006666666667,2.26802,4.19979,1.73935
0.815386666666667,2.29616,4.19979,1.63974
0.824246666666667,2.32274,4.19979,1.54779
0.832606666666667,2.34782,4.19979,1.46351
0.840493333333333,2.37148,4.19979,1.37667
0.8479,2.3937,4.19979,1.28983
0.854833333333333,2.4145,4.19979,1.20554
0.861286666666667,2.43386,4.19979,1.1187
0.867266666666667,2.4518,4.19979,1.03442
0.872773333333333,2.46832,4.19979,0.94758
0.877813333333333,2.48344,4.19979,0.86584
0.8824,2.4972,4.19979,0.78411
0.886543333333333,2.50963,4.19979,0.71004
0.89027,2.52081,4.19979,0.63597
0.89361,2.53083,4.19979,0.56701
0.89659,2.53977,4.19979,0.50571
0.89925,2.54775,4.19979,0.44952
0.901613333333333,2.55484,4.19979,0.401
0.903713333333333,2.56114,4.19979,0.35502
0.905573333333333,2.56672,4.19979,0.31671
0.907233333333333,2.5717,4.19979,0.28095
0.90871,2.57613,4.19979,0.2503
0.91002,2.58006,4.19979,0.22221
0.91119,2.58357,4.19979,0.19922
0.912233333333333,2.5867,4.19979,0.17879
0.91317,2.58951,4.19979,0.16091
0.914013333333333,2.59204,4.19979,0.14303
0.914776666666667,2.59433,4.19979,0.13026
0.915463333333333,2.59639,4.19979,0.11749
0.916083333333333,2.59825,4.19979,0.10727
0.91665,2.59995,4.19979,0.09706
0.917166666666667,2.6015,4.19979,0.08939
0.91764,2.60292,4.19979,0.08173
0.918073333333333,2.60422,4.19979,0.07662
0.91847,2.60541,4.19979,0.06896
0.918836666666667,2.60651,4.19979,0.06385
0.919173333333333,2.60752,4.19979,0.05874
0.91949,2.60847,4.19979,0.05364
0.919786666666667,2.60936,4.19979,0.05108
0.91983,2.60949,4.19979,0.04853
